Cell_id,Cell_Latitude,Cell_Longitude,Venue_Id,Venue_Name,Venue_All_Categories,Venue_Latitude,Venue_Longitude,Venue_Location,Venue_Distance,Borough_Name,Venue_Category_Name,Venue_Category_Id
"55.5974014487817,37.524517980442816",55.5974014487817,37.524517980442816,51718c6ee4b08e116164687e,Фитнес-центр «Мореон»,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.597151633539845,37.52790469437889,"Аквапарк МОРЕОН (Голубинская ул., 16), 117574",214,Ясенево,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.60256616217147,37.522726887188554",55.60256616217147,37.52272688718856,50a9fcd4e4b0702a836692cd,Физкультурно-оздоровительный комплекс Ясенево,"[('Gym', '4bf58dd8d48988d176941735')]",55.60476795210455,37.51977300335089,"Вильнюсская ул., 6, к. 2, 117574",307,Ясенево,Gym,4bf58dd8d48988d176941735
"55.60086174357737,37.53152247537872",55.60086174357737,37.531522475378715,4f71bfb8e4b04c3d16a11d52,"ГУП ""Час Спорта""","[('Gym', '4bf58dd8d48988d176941735')]",55.601782125273274,37.53621158326651,"ул. Паустовского, 4А, 117463",312,Ясенево,Gym,4bf58dd8d48988d176941735
"55.59745111671711,37.549110825857404",55.59745111671711,37.549110825857404,4feedb1ae4b0967097ea274e,Спортивная площадка,"[('Gym', '4bf58dd8d48988d176941735')]",55.59770600539632,37.549704804396974,усадьба Ясенево,46,Ясенево,Gym,4bf58dd8d48988d176941735
"55.58549514653428,37.6106403605226",55.58549514653428,37.6106403605226,4f0e00dee4b03544980e617b,Центр Физической Культуры И Спорта,"[('Gym', '4bf58dd8d48988d176941735')]",55.58786452086832,37.61287723093038,"Дорожная ул., 44",298,Чертаново Южное,Gym,4bf58dd8d48988d176941735
"55.58549514653428,37.6106403605226",55.58549514653428,37.6106403605226,4ed3b009f5b9832addfa8257,ФОК ул. Дорожная,"[('Gym', '4bf58dd8d48988d176941735')]",55.58781033498804,37.61295602000617,Россия,296,Чертаново Южное,Gym,4bf58dd8d48988d176941735
"55.590660141081145,37.60886162906513",55.590660141081145,37.60886162906513,516f841ae4b04eccd356cd72,fitcurves,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.59245497158322,37.61343502999778,Россия,350,Чертаново Южное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.58038908626796,37.66157203428298",55.58038908626796,37.661572034282976,58332a397ff1e43c193edd56,Alex Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.57872872493286,37.66538004993381,"Михневская,4",302,Бирюлёво Восточное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.61630265567984,37.50154463184656",55.616302655679846,37.50154463184656,510e4790e4b0809a89f627d6,Спортленд,"[('Gym', '4bf58dd8d48988d176941735')]",55.61597778916147,37.505851942567574,Россия,273,Ясенево,Gym,4bf58dd8d48988d176941735
"55.61459948090935,37.51034464477349",55.61459948090935,37.51034464477349,4d8a44fd1508a143bf1d211e,Спортлэнд,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.61474649402648,37.51404545424925,"Новоясеневский проспект, д. 3А, стр.1",233,Ясенево,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.60948637404546,37.53673903083919",55.60948637404546,37.536739030839186,58a1ddeaa19e9063d2d95233,Encore Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.60907878677347,37.535668751366956,"Новоясеневский проезд, 9, 117588",81,Ясенево,Gym / Fitness Center,4bf58dd8d48988d175941735
